;;Koppeling met bestandsnaam:;;75_1.1, 75_2.1, 75_3.1;;;Proefpersoon;;75
00:07:15;00:07:20;435;;1;;;;;
00:07:20;00:07:25;440;;4;;;;;
00:07:25;00:07:30;445;;1;;;;;
00:07:30;00:07:35;450;;1;;;;;
00:07:35;00:07:40;455;;1;;;;;
00:07:40;00:07:45;460;;6;;;;;
00:07:45;00:07:50;465;;6;;;;;
00:07:50;00:07:55;470;;6;;;;;
00:07:55;00:08:00;475;;6;;;;;
00:08:00;00:08:05;480;;1;;;;;
00:08:05;00:08:10;485;;6;;;;;
00:08:10;00:08:15;490;;1;;;;;
00:08:15;00:08:20;495;;5;;;;;
00:08:20;00:08:25;500;;1;;;;;
00:08:25;00:08:30;505;;6;;;;;
00:08:30;00:08:35;510;;1;;;;;
00:08:35;00:08:40;515;;5;;;;;
00:08:40;00:08:45;520;;1;;;;;
00:08:45;00:08:50;525;;6;;;;;
00:08:50;00:08:55;530;;1;;;;;
00:08:55;00:09:00;535;;6;;;;;
00:09:00;00:09:05;540;;1;;;;;
00:09:05;00:09:10;545;;1;;;;;
00:09:10;00:09:15;550;;8;;;;;
00:09:15;00:09:20;555;;8;;;;;
00:09:20;00:09:25;560;;8;;;;;
00:09:25;00:09:30;565;;8;;;;;
00:09:30;00:09:35;570;;8;;;;;
00:09:35;00:09:40;575;;8;;;;;
00:09:40;00:09:45;580;;8;;;;;
00:09:45;00:09:50;585;;7;;;;;
00:09:50;00:09:55;590;;1;;;;;
00:09:55;00:10:00;595;;1;;;;;
00:10:00;00:10:05;600;;1;;;;;
00:10:05;00:10:10;605;;1;;;;;
00:10:10;00:10:15;610;;7;;;;;
00:10:15;00:10:20;615;;7;;;;;
00:10:20;00:10:25;620;;7;;;;;
00:10:25;00:10:30;625;;7;;;;;
00:10:30;00:10:35;630;;7;;;;;
00:10:35;00:10:40;635;;7;;;;;
00:10:40;00:10:45;640;;7;;;;;
00:10:45;00:10:50;645;;1;;;;;
00:10:50;00:10:55;650;;1;;;;;
00:10:55;00:11:00;655;;1;;;;;
00:11:00;00:11:05;660;;1;;;;;
00:11:05;00:11:10;665;;4;;;;;
00:11:10;00:11:15;670;;1;;;;;
00:11:15;00:11:20;675;;1;;;;;
00:11:20;00:11:25;680;;1;;;;;
00:11:25;00:11:30;685;;1;;;;;
00:11:30;00:11:35;690;;9;;;;;
00:11:35;00:11:40;695;;9;;;;;
00:11:40;00:11:45;700;;9;;;;;
00:11:45;00:11:50;705;;1;;;;;
00:11:50;00:11:55;710;;9;;;;;
00:11:55;00:12:00;715;;9;;;;;
00:12:00;00:12:05;720;;9;;;;;
00:12:05;00:12:10;725;;9;;;;;
00:12:10;00:12:15;730;;1;;;;;
00:12:15;00:12:20;735;;9;;;;;
00:12:20;00:12:25;740;;9;;;;;
00:12:25;00:12:30;745;;1;;;;;
00:12:30;00:12:35;750;;1;;;;;
00:12:35;00:12:40;755;;1;;;;;
00:12:40;00:12:45;760;;9;;;;;
00:12:45;00:12:50;765;;9;;;;;
00:12:50;00:12:55;770;;1;;;;;
00:12:55;00:13:00;775;;1;;;;;
00:13:00;00:13:05;780;;1;;;;;
00:13:05;00:13:10;785;;1;;;;;
00:13:10;00:13:15;790;;9;;;;;
00:13:15;00:13:20;795;;9;;;;;
00:13:20;00:13:25;800;;9;;;;;
00:13:25;00:13:30;805;;1;;;;;
00:13:30;00:13:35;810;;1;;;;;
00:13:35;00:13:40;815;;1;;;;;
00:13:40;00:13:45;820;;1;;;;;
00:13:45;00:13:50;825;;1;;;;;
00:13:50;00:13:55;830;;9;;;;;
00:13:55;00:14:00;835;;9;;;;;
00:14:00;00:14:05;840;;1;;;;;
00:14:05;00:14:10;845;;1;;;;;
00:14:10;00:14:15;850;;1;;;;;
00:14:15;00:14:20;855;;1;;;;;
00:14:20;00:14:25;860;;2;;;;;
00:14:25;00:14:30;865;;2;;;;;
00:14:30;00:14:35;870;;1;;;;;
00:14:35;00:14:40;875;;2;;;;;
00:14:40;00:14:45;880;;2;;;;;
00:14:45;00:14:50;885;;2;;;;;
00:14:50;00:14:55;890;;2;;;;;
00:14:55;00:15:00;895;;2;;;;;
00:15:00;00:15:05;900;;2;;;;;
00:15:05;00:15:10;905;;2;;;;;
00:15:10;00:15:15;910;;2;;;;;
00:15:15;00:15:20;915;;1;;;;;
00:15:20;00:15:25;920;;2;;;;;
00:15:25;00:15:30;925;;2;;;;;
00:15:30;00:15:35;930;;2;;;;;
00:15:35;00:15:40;935;;1;;;;;
00:15:40;00:15:45;940;;1;;;;;
00:15:45;00:15:50;945;;1;;;;;
00:15:50;00:15:55;950;;2;;;;;
00:15:55;00:16:00;955;;1;;;;;
00:16:00;00:16:05;960;;1;;;;;
00:16:05;00:16:10;965;;12;;;;;
00:16:10;00:16:15;970;;1;;;;;
00:16:15;00:16:20;975;;1;;;;;
00:16:20;00:16:25;980;;1;;;;;
00:16:25;00:16:30;985;;1;;;;;
00:16:30;00:16:35;990;;1;;;;;
00:16:35;00:16:40;995;;1;;;;;
00:16:40;00:16:45;1000;;1;;;;;
00:16:45;00:16:50;1005;;1;;;;;
00:16:50;00:16:55;1010;;1;;;;;
00:16:55;00:17:00;1015;;1;;;;;
00:17:00;00:17:05;1020;;1;;;;;
00:17:05;00:17:10;1025;;1;;;;;
00:17:10;00:17:15;1030;;1;;;;;
00:17:15;00:17:20;1035;;10;;;;;
00:17:20;00:17:25;1040;;1;;;;;
00:17:25;00:17:30;1045;;1;;;;;
00:17:30;00:17:35;1050;;10;;;;;
00:17:35;00:17:40;1055;;1;;;;;
00:17:40;00:17:45;1060;;10;;;;;
00:17:45;00:17:50;1065;;1;;;;;
00:17:50;00:17:55;1070;;10;;;;;
00:17:55;00:18:00;1075;;1;;;;;
00:18:00;00:18:05;1080;;1;;;;;
00:18:05;00:18:10;1085;;1;;;;;
00:18:10;00:18:15;1090;;13;;;;;
00:18:15;00:18:20;1095;;1;;;;;
00:18:20;00:18:25;1100;;1;;;;;
00:18:25;00:18:30;1105;;13;;;;;
00:18:30;00:18:35;1110;;1;;;;;
00:18:35;00:18:40;1115;;13;;;;;
00:18:40;00:18:45;1120;;1;;;;;
00:18:45;00:18:50;1125;;1;;;;;
00:18:50;00:18:55;1130;;13;;;;;
00:18:55;00:19:00;1135;;1;;;;;
00:19:00;00:19:05;1140;;1;;;;;
00:19:05;00:19:10;1145;;1;;;;;
00:19:10;00:19:15;1150;;1;;;;;
00:19:15;00:19:20;1155;;1;;;;;
00:19:20;00:19:25;1160;;1;;;;;
00:19:25;00:19:30;1165;;1;;;;;
00:19:30;00:19:35;1170;;5;;;;;
00:19:35;00:19:40;1175;;1;;;;;
00:19:40;00:19:45;1180;;1;;;;;
00:19:45;00:19:50;1185;;1;;;;;
00:19:50;00:19:55;1190;;4;;;;;
00:19:55;00:20:00;1195;;1;;;;;
00:20:00;00:20:05;1200;;1;;;;;
00:20:05;00:20:10;1205;;1;;;;;
00:20:10;00:20:15;1210;;1;;;;;
00:20:15;00:20:20;1215;;18;;;;;
00:20:20;00:20:25;1220;;18;;;;;
00:20:25;00:20:30;1225;;18;;;;;
00:20:30;00:20:35;1230;;18;;;;;
00:20:35;00:20:40;1235;;1;;;;;
00:20:40;00:20:45;1240;;1;;;;;
00:20:45;00:20:50;1245;;1;;;;;
00:20:50;00:20:55;1250;;1;;;;;
00:20:55;00:21:00;1255;;19;;;;;
00:21:00;00:21:05;1260;;1;;;;;
00:21:05;00:21:10;1265;;19;;;;;
00:21:10;00:21:15;1270;;1;;;;;
00:21:15;00:21:20;1275;;1;;;;;
00:21:20;00:21:25;1280;;1;;;;;
00:21:25;00:21:30;1285;;1;;;;;
00:21:30;00:21:35;1290;;1;;;;;
00:21:35;00:21:40;1295;;1;;;;;
00:21:40;00:21:45;1300;;14;;;;;
00:21:45;00:21:50;1305;;14;;;;;
00:21:50;00:21:55;1310;;14;;;;;
00:21:55;00:22:00;1315;;14;;;;;
00:22:00;00:22:05;1320;;14;;;;;
00:22:05;00:22:10;1325;;14;;;;;
00:22:10;00:22:15;1330;;14;;;;;
00:22:15;00:22:20;1335;;14;;;;;
00:22:20;00:22:25;1340;;14;;;;;
00:22:25;00:22:30;1345;;14;;;;;
00:22:30;00:22:35;1350;;14;;;;;
00:22:35;00:22:40;1355;;14;;;;;
00:22:40;00:22:45;1360;;14;;;;;
00:22:45;00:22:50;1365;;14;;;;;
00:22:50;00:22:55;1380;;1;;;;;
00:22:55;00:23:00;1385;;2;;;;;
00:23:00;00:23:05;1380;;2;;;;;
00:23:05;00:23:10;1385;;2;;;;;
00:23:10;00:23:15;1390;;2;;;;;
00:23:15;00:23:20;1395;;1;;;;;
00:23:20;00:23:25;1400;;1;;;;;
00:23:25;00:23:30;1405;;1;;;;;
00:23:30;00:23:35;1410;;6;;;;;
00:23:35;00:23:40;1415;;6;;;;;
00:23:40;00:23:45;1420;;5;;;;;
00:23:45;00:23:50;1425;;5;;;;;
00:23:50;00:23:55;1430;;5;;;;;
00:23:55;00:24:00;1435;;6;;;;;
00:24:00;00:24:05;1440;;5;;;;;
00:24:05;00:24:10;1445;;1;;;;;
00:24:10;00:24:15;1450;;1;;;;;
00:24:15;00:24:20;1455;;22;;;;;
00:24:20;00:24:25;1460;;1;;;;;
00:24:25;00:24:30;1465;;1;;;;;
00:24:30;00:24:35;1470;;1;;;;;
00:24:35;00:24:40;1475;;22;;;;;
00:24:40;00:24:45;1480;;22;;;;;
00:24:45;00:24:50;1485;;1;;;;;
00:24:50;00:24:55;1490;;22;;;;;
00:24:55;00:25:00;1495;;1;;;;;
00:25:00;00:25:05;1500;;;;;;;
00:25:05;00:25:10;1505;;;;;;;
00:25:10;00:25:15;1510;;;;;;;
00:25:15;00:25:20;1515;;;;;;;
00:25:20;00:25:25;1520;;;;;;;
00:25:25;00:25:30;1525;;;;;;;
00:25:30;00:25:35;1530;;;;;;;
00:25:35;00:25:40;1535;;;;;;;
00:25:40;00:25:45;1540;;;;;;;
00:25:45;00:25:50;1545;;;;;;;
00:25:50;00:25:55;1550;;;;;;;
00:25:55;00:26:00;1555;;;;;;;
00:26:00;00:26:05;1560;;;;;;;
00:26:05;00:26:10;1565;;;;;;;
00:26:10;00:26:15;1570;;;;;;;
00:26:15;00:26:20;1575;;;;;;;
00:26:20;00:26:25;1580;;;;;;;
00:26:25;00:26:30;1585;;;;;;;
00:26:30;00:26:35;1590;;;;;;;
00:26:35;00:26:40;1595;;;;;;;
00:26:40;00:26:45;1600;;;;;;;
00:26:45;00:26:50;1605;;;;;;;
00:26:50;00:26:55;1610;;;;;;;
00:26:55;00:27:00;1615;;;;;;;
00:27:00;00:27:05;1620;;;;;;;
00:27:05;00:27:10;1625;;;;;;;
00:27:10;00:27:15;1630;;;;;;;
00:27:15;00:27:20;1635;;;;;;;
00:27:20;00:27:25;1640;;;;;;;
00:27:25;00:27:30;1645;;;;;;;
00:27:30;00:27:35;1650;;;;;;;
00:27:35;00:27:40;1655;;;;;;;
00:27:40;00:27:45;1660;;;;;;;
00:27:45;00:27:50;1665;;;;;;;
00:27:50;00:27:55;1670;;;;;;;
00:27:55;00:28:00;1675;;;;;;;
00:28:00;00:28:05;1680;;;;;;;
00:28:05;00:28:10;1685;;;;;;;
00:28:10;00:28:15;1690;;;;;;;
00:28:15;00:28:20;1695;;;;;;;
00:28:20;00:28:25;1700;;;;;;;
00:28:25;00:28:30;1705;;;;;;;
00:28:30;00:28:35;1710;;;;;;;
00:28:35;00:28:40;1715;;;;;;;
00:28:40;00:28:45;1720;;;;;;;
00:28:45;00:28:50;1725;;;;;;;
00:28:50;00:28:55;1730;;;;;;;
00:28:55;00:29:00;1735;;;;;;;
00:29:00;00:29:05;1740;;;;;;;
00:29:05;00:29:10;1745;;;;;;;
00:29:10;00:29:15;1750;;;;;;;
00:29:15;00:29:20;1755;;;;;;;
00:29:20;00:29:25;1760;;;;;;;
00:29:25;00:29:30;1765;;;;;;;
00:29:30;00:29:35;1770;;;;;;;
00:29:35;00:29:40;1775;;;;;;;
00:29:40;00:29:45;1780;;;;;;;
00:29:45;00:29:50;1785;;;;;;;
00:29:50;00:29:55;1790;;;;;;;
00:29:55;00:30:00;1795;;;;;;;
00:30:00;00:30:05;1800;;;;;;;
00:30:05;00:30:10;1805;;;;;;;
00:30:10;00:30:15;1810;;;;;;;
00:30:15;00:30:20;1815;;;;;;;
00:30:20;00:30:25;1820;;;;;;;
00:30:25;00:30:30;1825;;;;;;;
00:30:30;00:30:35;1830;;;;;;;
00:30:35;00:30:40;1835;;;;;;;
00:30:40;00:30:45;1840;;;;;;;
00:30:45;00:30:50;1845;;;;;;;
00:30:50;00:30:55;1850;;;;;;;
00:30:55;00:31:00;1855;;;;;;;
00:31:00;00:31:05;1860;;;;;;;
00:31:05;00:31:10;1865;;;;;;;
00:31:10;00:31:15;1870;;;;;;;
00:31:15;00:31:20;1875;;;;;;;
00:31:20;00:31:25;1880;;;;;;;
00:31:25;00:31:30;1885;;;;;;;
00:31:30;00:31:35;1890;;;;;;;
00:31:35;00:31:40;1895;;;;;;;
00:31:40;00:31:45;1900;;;;;;;
00:31:45;00:31:50;1905;;;;;;;
00:31:50;00:31:55;1910;;;;;;;
00:31:55;00:32:00;1915;;;;;;;
00:32:00;00:32:05;1920;;;;;;;
00:32:05;00:32:10;1925;;;;;;;
00:32:10;00:32:15;1930;;;;;;;
00:32:15;00:32:20;1935;;;;;;;
00:32:20;00:32:25;1940;;;;;;;
00:32:25;00:32:30;1945;;;;;;;
00:32:30;00:32:35;1950;;;;;;;
00:32:35;00:32:40;1955;;;;;;;
00:32:40;00:32:45;1960;;;;;;;
00:32:45;00:32:50;1965;;;;;;;
00:32:50;00:32:55;1970;;;;;;;
00:32:55;00:33:00;1975;;;;;;;
00:33:00;00:33:05;1980;;;;;;;
00:33:05;00:33:10;1985;;;;;;;
00:33:10;00:33:15;1990;;;;;;;
00:33:15;00:33:20;1995;;;;;;;
00:33:20;00:33:25;2000;;;;;;;
00:33:25;00:33:30;2005;;;;;;;
00:33:30;00:33:35;2010;;;;;;;
00:33:35;00:33:40;2015;;;;;;;
00:33:40;00:33:45;2020;;;;;;;
00:33:45;00:33:50;2025;;;;;;;
00:33:50;00:33:55;2030;;;;;;;
00:33:55;00:34:00;2035;;;;;;;
00:34:00;00:34:05;2040;;;;;;;
00:34:05;00:34:10;2045;;;;;;;
00:34:10;00:34:15;2050;;;;;;;
00:34:15;00:34:20;2055;;;;;;;
00:34:20;00:34:25;2060;;;;;;;
00:34:25;00:34:30;2065;;;;;;;
00:34:30;00:34:35;2070;;;;;;;
00:34:35;00:34:40;2075;;;;;;;
00:34:40;00:34:45;2080;;;;;;;
00:34:45;00:34:50;2085;;;;;;;
00:34:50;00:34:55;2090;;;;;;;
00:34:55;00:35:00;2095;;;;;;;
00:35:00;00:35:05;2100;;;;;;;
00:35:05;00:35:10;2105;;;;;;;
00:35:10;00:35:15;2110;;;;;;;
00:35:15;00:35:20;2115;;;;;;;
00:35:20;00:35:25;2120;;;;;;;
00:35:25;00:35:30;2125;;;;;;;
00:35:30;00:35:35;2130;;;;;;;
00:35:35;00:35:40;2135;;;;;;;
00:35:40;00:35:45;2140;;;;;;;
00:35:45;00:35:50;2145;;;;;;;
00:35:50;00:35:55;2150;;;;;;;
00:35:55;00:36:00;2155;;;;;;;
00:36:00;00:36:05;2160;;;;;;;
00:36:05;00:36:10;2165;;;;;;;
00:36:10;00:36:15;2170;;;;;;;
00:36:15;00:36:20;2175;;;;;;;
00:36:20;00:36:25;2180;;;;;;;
00:36:25;00:36:30;2185;;;;;;;
00:36:30;00:36:35;2190;;;;;;;
00:36:35;00:36:40;2195;;;;;;;
00:36:40;00:36:45;2200;;;;;;;
00:36:45;00:36:50;2205;;;;;;;
00:36:50;00:36:55;2210;;;;;;;
00:36:55;00:37:00;2215;;;;;;;
00:37:00;00:37:05;2220;;;;;;;
00:37:05;00:37:10;2225;;;;;;;
00:37:10;00:37:15;2230;;;;;;;
00:37:15;00:37:20;2235;;;;;;;
00:37:20;00:37:25;2240;;;;;;;
00:37:25;00:37:30;2245;;;;;;;
00:37:30;00:37:35;2250;;;;;;;
00:37:35;00:37:40;2255;;;;;;;
00:37:40;00:37:45;2260;;;;;;;
00:37:45;00:37:50;2265;;;;;;;
00:37:50;00:37:55;2270;;;;;;;
00:37:55;00:38:00;2275;;;;;;;
00:38:00;00:38:05;2280;;;;;;;
00:38:05;00:38:10;2285;;;;;;;
00:38:10;00:38:15;2290;;;;;;;
00:38:15;00:38:20;2295;;;;;;;
00:38:20;00:38:25;2300;;;;;;;
00:38:25;00:38:30;2305;;;;;;;
00:38:30;00:38:35;2310;;;;;;;
00:38:35;00:38:40;2315;;;;;;;
00:38:40;00:38:45;2320;;;;;;;
00:38:45;00:38:50;2325;;;;;;;
00:38:50;00:38:55;2330;;;;;;;
00:38:55;00:39:00;2335;;;;;;;
00:39:00;00:39:05;2340;;;;;;;
00:39:05;00:39:10;2345;;;;;;;
00:39:10;00:39:15;2350;;;;;;;
00:39:15;00:39:20;2355;;;;;;;
00:39:20;00:39:25;2360;;;;;;;
00:39:25;00:39:30;2365;;;;;;;
00:39:30;00:39:35;2370;;;;;;;
00:39:35;00:39:40;2375;;;;;;;
00:39:40;00:39:45;2380;;;;;;;
00:39:45;00:39:50;2385;;;;;;;
00:39:50;00:39:55;2390;;;;;;;
00:39:55;00:40:00;2395;;;;;;;
00:40:00;00:40:05;2400;;;;;;;
00:40:05;00:40:10;2405;;;;;;;
00:40:10;00:40:15;2410;;;;;;;
00:40:15;00:40:20;2415;;;;;;;
00:40:20;00:40:25;2420;;;;;;;
00:40:25;00:40:30;2425;;;;;;;
00:40:30;00:40:35;2430;;;;;;;
00:40:35;00:40:40;2435;;;;;;;
00:40:40;00:40:45;2440;;;;;;;
00:40:45;00:40:50;2445;;;;;;;
00:40:50;00:40:55;2450;;;;;;;
00:40:55;00:41:00;2455;;;;;;;
00:41:00;00:41:05;2460;;;;;;;
00:41:05;00:41:10;2465;;;;;;;
00:41:10;00:41:15;2470;;;;;;;
00:41:15;00:41:20;2475;;;;;;;
00:41:20;00:41:25;2480;;;;;;;
00:41:25;00:41:30;2485;;;;;;;
00:41:30;00:41:35;2490;;;;;;;
00:41:35;00:41:40;2495;;;;;;;
00:41:40;00:41:45;2500;;;;;;;
00:41:45;00:41:50;2505;;;;;;;
00:41:50;00:41:55;2510;;;;;;;
00:41:55;00:42:00;2515;;;;;;;
00:42:00;00:42:05;2520;;;;;;;
00:42:05;00:42:10;2525;;;;;;;
00:42:10;00:42:15;2530;;;;;;;
00:42:15;00:42:20;2535;;;;;;;
00:42:20;00:42:25;2540;;;;;;;
00:42:25;00:42:30;2545;;;;;;;
00:42:30;00:42:35;2550;;;;;;;
00:42:35;00:42:40;2555;;;;;;;
00:42:40;00:42:45;2560;;;;;;;
00:42:45;00:42:50;2565;;;;;;;
00:42:50;00:42:55;2570;;;;;;;
00:42:55;00:43:00;2575;;;;;;;
00:43:00;00:43:05;2580;;;;;;;
00:43:05;00:43:10;2585;;;;;;;
00:43:10;00:43:15;2590;;;;;;;
00:43:15;00:43:20;2595;;;;;;;
00:43:20;00:43:25;2600;;;;;;;
00:43:25;00:43:30;2605;;;;;;;
00:43:30;00:43:35;2610;;;;;;;
00:43:35;00:43:40;2615;;;;;;;
00:43:40;00:43:45;2620;;;;;;;
00:43:45;00:43:50;2625;;;;;;;
00:43:50;00:43:55;2630;;;;;;;
00:43:55;00:44:00;2635;;;;;;;
00:44:00;00:44:05;2640;;;;;;;
00:44:05;00:44:10;2645;;;;;;;
00:44:10;00:44:15;2650;;;;;;;
00:44:15;00:44:20;2655;;;;;;;
00:44:20;00:44:25;2660;;;;;;;
00:44:25;00:44:30;2665;;;;;;;
00:44:30;00:44:35;2670;;;;;;;
00:44:35;00:44:40;2675;;;;;;;
00:44:40;00:44:45;2680;;;;;;;
00:44:45;00:44:50;2685;;;;;;;
00:44:50;00:44:55;2690;;;;;;;
00:44:55;00:45:00;2695;;;;;;;
00:45:00;00:45:05;2700;;;;;;;
00:45:05;00:45:10;2705;;;;;;;
00:45:10;00:45:15;2710;;;;;;;
00:45:15;00:45:20;2715;;;;;;;
00:45:20;00:45:25;2720;;;;;;;
00:45:25;00:45:30;2725;;;;;;;
00:45:30;00:45:35;2730;;;;;;;
00:45:35;00:45:40;2735;;;;;;;
00:45:40;00:45:45;2740;;;;;;;
00:45:45;00:45:50;2745;;;;;;;
00:45:50;00:45:55;2750;;;;;;;
00:45:55;00:46:00;2755;;;;;;;
00:46:00;00:46:05;2760;;;;;;;
00:46:05;00:46:10;2765;;;;;;;
00:46:10;00:46:15;2770;;;;;;;
00:46:15;00:46:20;2775;;;;;;;
00:46:20;00:46:25;2780;;;;;;;
00:46:25;00:46:30;2785;;;;;;;
00:46:30;00:46:35;2790;;;;;;;
00:46:35;00:46:40;2795;;;;;;;
00:46:40;00:46:45;2800;;;;;;;
00:46:45;00:46:50;2805;;;;;;;
00:46:50;00:46:55;2810;;;;;;;
00:46:55;00:47:00;2815;;;;;;;
00:47:00;00:47:05;2820;;;;;;;
00:47:05;00:47:10;2825;;;;;;;
00:47:10;00:47:15;2830;;;;;;;
00:47:15;00:47:20;2835;;;;;;;
00:47:20;00:47:25;2840;;;;;;;
00:47:25;00:47:30;2845;;;;;;;
00:47:30;00:47:35;2850;;;;;;;
00:47:35;00:47:40;2855;;;;;;;
00:47:40;00:47:45;2860;;;;;;;
00:47:45;00:47:50;2865;;;;;;;
00:47:50;00:47:55;2870;;;;;;;
00:47:55;00:48:00;2875;;;;;;;
00:48:00;00:48:05;2880;;;;;;;
00:48:05;00:48:10;2885;;;;;;;
00:48:10;00:48:15;2890;;;;;;;
00:48:15;00:48:20;2895;;;;;;;
00:48:20;00:48:25;2900;;;;;;;
00:48:25;00:48:30;2905;;;;;;;
00:48:30;00:48:35;2910;;;;;;;
00:48:35;00:48:40;2915;;;;;;;
00:48:40;00:48:45;2920;;;;;;;
00:48:45;00:48:50;2925;;;;;;;
00:48:50;00:48:55;2930;;;;;;;
00:48:55;00:49:00;2935;;;;;;;
00:49:00;00:49:05;2940;;;;;;;
00:49:05;00:49:10;2945;;;;;;;
00:49:10;00:49:15;2950;;;;;;;
00:49:15;00:49:20;2955;;;;;;;
00:49:20;00:49:25;2960;;;;;;;
00:49:25;00:49:30;2965;;;;;;;
00:49:30;00:49:35;2970;;;;;;;
00:49:35;00:49:40;2975;;;;;;;
00:49:40;00:49:45;2980;;;;;;;
00:49:45;00:49:50;2985;;;;;;;
00:49:50;00:49:55;2990;;;;;;;
00:49:55;00:50:00;2995;;;;;;;
00:50:00;00:50:05;3000;;;;;;;
00:50:05;00:50:10;3005;;;;;;;
00:50:10;00:50:15;3010;;;;;;;
00:50:15;00:50:20;3015;;;;;;;
