;;Koppeling met bestandsnaam:;;006_AR.MP4;;;Proefpersoon;P006;
0:07:05;0:07:10;425;lopen met bochten;6;;;;;
0:07:10;0:07:15;430;lopen met bochten;6;;;;;
0:07:15;0:07:20;435;lopen met bochten;6;;;;;
0:07:20;0:07:25;440;lopen met bochten;6;;;;;
0:07:25;0:07:30;445;lopen met bochten;6;;;;;
0:07:30;0:07:35;450;lopen met bochten;6;;;;;
0:07:35;0:07:40;455;stilstaan;4;;;;;
0:07:40;0:07:45;460;niet bruikbaar;1;;;;;
0:07:45;0:07:50;465;niet bruikbaar;1;;;;;
0:07:50;0:07:55;470;rennen met bochten;8;;;;;
0:07:55;0:08:00;475;rennen met bochten;8;;;;;
0:08:00;0:08:05;480;rennen met bochten;8;;;;;
0:08:05;0:08:10;485;rennen met bochten;8;;;;;
0:08:10;0:08:15;490;rennen met bochten;8;;;;;
0:08:15;0:08:20;495;niet bruikbaar;1;;;;;
0:08:20;0:08:25;500;stilstaan;4;;;;;
0:08:25;0:08:30;505;stilstaan;4;;;;;
0:08:30;0:08:35;510;stilstaan;4;;;;;
0:08:35;0:08:40;515;stilstaan;4;;;;;
0:08:40;0:08:45;520;stilstaan;4;;;;;
0:08:45;0:08:50;525;stilstaan;4;;;;;
0:08:50;0:08:55;530;stilstaan;4;;;;;
0:08:55;0:09:00;535;niet bruikbaar;1;;;;;
0:09:00;0:09:05;540;niet bruikbaar;1;;;;;
0:09:05;0:09:10;545;rennen ;7;;;;;
0:09:10;0:09:15;550;rennen ;7;;;;;
0:09:15;0:09:20;555;rennen  ;7;;;;;
0:09:20;0:09:25;560;niet bruikbaar;1;;;;;
0:09:25;0:09:30;565;niet bruikbaar;1;;;;;
0:09:30;0:09:35;570;niet bruikbaar;1;;;;;
0:09:35;0:09:40;575;niet bruikbaar;1;;;;;
0:09:40;0:09:45;580;lopen;5;;;;;
0:09:45;0:09:50;585;niet bruikbaar;1;;;;;
0:09:50;0:09:55;590;liggen;9;;;;;
0:09:55;0:10:00;595;liggen;9;;;;;
0:10:00;0:10:05;600;liggen;9;;;;;
0:10:05;0:10:10;605;liggen;9;;;;;
0:10:10;0:10:15;610;niet bruikbaar;1;;;;;
0:10:15;0:10:20;615;liggen;9;;;;;
0:10:20;0:10:25;620;liggen;9;;;;;
0:10:25;0:10:30;625;niet bruikbaar;1;;;;;
0:10:30;0:10:35;630;liggen;9;;;;;
0:10:35;0:10:40;635;liggen;9;;;;;
0:10:40;0:10:45;640;niet bruikbaar;1;;;;;
0:10:45;0:10:50;645;kruipen;10;;;;;
0:10:50;0:10:55;650;kruipen;10;;;;;
0:10:55;0:11:00;655;kruipen;10;;;;;
0:11:00;0:11:05;660;kruipen;10;;;;;
0:11:05;0:11:10;665;niet bruikbaar;1;;;;;
0:11:10;0:11:15;670;niet bruikbaar;1;;;;;
0:11:15;0:11:20;675;niet bruikbaar;1;;;;;
0:11:20;0:11:25;680;niet bruikbaar;1;;;;;
0:11:25;0:11:30;685;niet bruikbaar;1;;;;;
0:11:30;0:11:35;690;billenschuiven;13;;;;;
0:11:35;0:11:40;695;billenschuiven;13;;;;;
0:11:40;0:11:45;700;billenschuiven;13;;;;;
0:11:45;0:11:50;705;billenschuiven;13;;;;;
0:11:50;0:11:55;710;niet bruikbaar;1;;;;;
0:11:55;0:12:00;715;niet bruikbaar;1;;;;;
0:12:00;0:12:05;720;niet bruikbaar;1;;;;;
0:12:05;0:12:10;725;niet bruikbaar;1;;;;;
0:12:10;0:12:15;730;zitten ;2;;;;;
0:12:15;0:12:20;735;zitten ;2;;;;;
0:12:20;0:12:25;740;zitten ;2;;;;;
0:12:25;0:12:30;745;zitten ;2;;;;;
0:12:30;0:12:35;750;zitten ;2;;;;;
0:12:35;0:12:40;755;zitten ;2;;;;;
0:12:40;0:12:45;760;zitten ;2;;;;;
0:12:45;0:12:50;765;zitten ;2;;;;;
0:12:50;0:12:55;770;zitten ;2;;;;;
0:12:55;0:13:00;775;niet bruikbaar;1;;;;;
0:13:00;0:13:05;780;niet bruikbaar;1;;;;;
0:13:05;0:13:10;785;stilstaan;4;;;;;
0:13:10;0:13:15;790;stilstaan;4;;;;;
0:13:15;0:13:20;795;stilstaan;4;;;;;
0:13:20;0:13:25;800;stilstaan;4;;;;;
0:13:25;0:13:30;805;niet bruikbaar;1;;;;;
0:13:30;0:13:35;810;niet bruikbaar;1;;;;;
0:13:35;0:13:40;815;springen op de plek;18;;;;;
0:13:40;0:13:45;820;springen op de plek;18;;;;;
0:13:45;0:13:50;825;springen op de plek;18;;;;;
0:13:50;0:13:55;830;niet bruikbaar;1;;;;;
0:13:55;0:14:00;835;niet bruikbaar;1;;;;;
0:14:00;0:14:05;840;gedragen worden;15;;;;;
0:14:05;0:14:10;845;gedragen worden;15;;;;;
0:14:10;0:14:15;850;gedragen worden;15;;;;;
0:14:15;0:14:20;855;gedragen worden;15;;;;;
0:14:20;0:14:25;860;gedragen worden;15;;;;;
0:14:25;0:14:30;865;gedragen worden;15;;;;;
0:14:30;0:14:35;870;gedragen worden;15;;;;;
0:14:35;0:14:40;875;gedragen worden;15;;;;;
0:14:40;0:14:45;880;niet bruikbaar;1;;;;;
0:14:45;0:14:50;885;stilstaan;4;;;;;
0:14:50;0:14:55;890;stilstaan;4;;;;;
0:14:55;0:15:00;895;niet bruikbaar;1;;;;;
0:15:00;0:15:05;900;niet bruikbaar;1;;;;;
0:15:05;0:15:10;905;voorwaarts springen ;19;;;;;
0:15:10;0:15:15;910;niet bruikbaar;1;;;;;
0:15:15;0:15:20;915;niet bruikbaar;1;;;;;
0:15:20;0:15:25;920;lopen;5;;;;;
0:15:25;0:15:30;925;niet bruikbaar;1;;;;;
0:15:30;0:15:35;930;traplopen;22;;;;;
0:15:35;0:15:40;935;traplopen;22;;;;;
0:15:40;0:15:45;940;niet bruikbaar;1;;;;;
0:15:45;0:15:50;945;stilstaan;4;;;;;
0:15:50;0:15:55;950;traplopen;22;;;;;
0:15:55;0:16:00;955;niet bruikbaar;1;;;;;
0:16:00;0:16:05;960;niet bruikbaar;1;;;;;
0:16:05;0:16:10;965;traplopen;22;;;;;
0:16:10;0:16:15;970;traplopen;22;;;;;
0:16:15;0:16:20;975;traplopen;22;;;;;
0:16:20;0:16:25;980;niet bruikbaar;1;;;;;
0:16:25;0:16:30;985;niet bruikbaar;1;;;;;
0:16:30;0:16:35;990;niet bruikbaar;1;;;;;
0:16:35;0:16:40;995;niet bruikbaar;1;;;;;
0:16:40;0:16:45;1000;niet bruikbaar;1;;;;;
0:16:45;0:16:50;1005;niet bruikbaar;1;;;;;
0:16:50;0:16:55;1010;lopen;5;;;;;
0:16:55;0:17:00;1015;lopen;5;;;;;
0:17:00;0:17:05;1020;lopen;5;;;;;
0:17:05;0:17:10;1025;niet bruikbaar;1;;;;;
0:17:10;0:17:15;1030;niet bruikbaar;1;;;;;
0:17:15;0:17:20;1035;niet bruikbaar;1;;;;;
0:17:20;0:17:25;1040;lopen;5;;;;;
0:17:25;0:17:30;1045;lopen;5;;;;;
0:17:30;0:17:35;1050;niet bruikbaar;1;;;;;
0:17:35;0:17:40;1055;niet bruikbaar;1;;;;;
0:17:40;0:17:45;1060;niet bruikbaar;1;;;;;
0:17:45;0:17:50;1065;niet bruikbaar;1;;;;;
0:17:50;0:17:55;1070;niet bruikbaar;1;;;;;
0:17:55;0:18:00;1075;lopen;5;;;;;
0:18:00;0:18:05;1080;lopen;5;;;;;
0:18:05;0:18:10;1085;lopen;5;;;;;
0:18:10;0:18:15;1090;niet bruikbaar;1;;;;;
0:18:15;0:18:20;1095;niet bruikbaar;1;;;;;
0:18:20;0:18:25;1100;lopen;5;;;;;
0:18:25;0:18:30;1105;niet bruikbaar;1;;;;;
0:18:30;0:18:35;1110;niet bruikbaar;1;;;;;
0:18:35;0:18:40;1115;niet bruikbaar;1;;;;;
0:18:40;0:18:45;1120;niet bruikbaar;1;;;;;
0:18:45;0:18:50;1125;niet bruikbaar;1;;;;;
0:18:50;0:18:55;1130;fietsen;23;;;;;
0:18:55;0:19:00;1135;fietsen;23;;;;;
0:19:00;0:19:05;1140;fietsen;23;;;;;
0:19:05;0:19:10;1145;fietsen;23;;;;;
0:19:10;0:19:15;1150;fietsen;23;;;;;
0:19:15;0:19:20;1155;fietsen;23;;;;;
0:19:20;0:19:25;1160;fietsen;23;;;;;
0:19:25;0:19:30;1165;fietsen;23;;;;;
0:19:30;0:19:35;1170;niet bruikbaar;1;;;;;
0:19:35;0:19:40;1175;fietsen;23;;;;;
0:19:40;0:19:45;1180;fietsen;23;;;;;
0:19:45;0:19:50;1185;fietsen;23;;;;;
0:19:50;0:19:55;1190;fietsen;23;;;;;
0:19:55;0:20:00;1195;fietsen;23;;;;;
0:20:00;0:20:05;1200;niet bruikbaar;1;;;;;
0:20:05;0:20:10;1205;niet bruikbaar;1;;;;;
0:20:10;0:20:15;1210;niet bruikbaar;1;;;;;
0:20:15;0:20:20;1215;niet bruikbaar;1;;;;;
0:20:20;0:20:25;1220;niet bruikbaar;1;;;;;
0:20:25;0:20:30;1225;;;;;;;
0:20:30;0:20:35;1230;;;;;;;
0:20:35;0:20:40;1235;;;;;;;
0:20:40;0:20:45;1240;;;;;;;
0:20:45;0:20:50;1245;;;;;;;
0:20:50;0:20:55;1250;;;;;;;
0:20:55;0:21:00;1255;;;;;;;
0:21:00;0:21:05;1260;;;;;;;
0:21:05;0:21:10;1265;;;;;;;
0:21:10;0:21:15;1270;;;;;;;
0:21:15;0:21:20;1275;;;;;;;
0:21:20;0:21:25;1280;;;;;;;
0:21:25;0:21:30;1285;;;;;;;
0:21:30;0:21:35;1290;;;;;;;
0:21:35;0:21:40;1295;;;;;;;
0:21:40;0:21:45;1300;;;;;;;
0:21:45;0:21:50;1305;;;;;;;
0:21:50;0:21:55;1310;;;;;;;
0:21:55;0:22:00;1315;;;;;;;
0:22:00;0:22:05;1320;;;;;;;
0:22:05;0:22:10;1325;;;;;;;
0:22:10;0:22:15;1330;;;;;;;
0:22:15;0:22:20;1335;;;;;;;
0:22:20;0:22:25;1340;;;;;;;
0:22:25;0:22:30;1345;;;;;;;
0:22:30;0:22:35;1350;;;;;;;
0:22:35;0:22:40;1355;;;;;;;
0:22:40;0:22:45;1360;;;;;;;
0:22:45;0:22:50;1365;;;;;;;
0:22:50;0:22:55;1380;;;;;;;
0:22:55;0:23:00;1385;;;;;;;
0:23:00;0:23:05;1380;;;;;;;
0:23:05;0:23:10;1385;;;;;;;
0:23:10;0:23:15;1390;;;;;;;
0:23:15;0:23:20;1395;;;;;;;
0:23:20;0:23:25;1400;;;;;;;
0:23:25;0:23:30;1405;;;;;;;
0:23:30;0:23:35;1410;;;;;;;
0:23:35;0:23:40;1415;;;;;;;
0:23:40;0:23:45;1420;;;;;;;
0:23:45;0:23:50;1425;;;;;;;
0:23:50;0:23:55;1430;;;;;;;
0:23:55;0:24:00;1435;;;;;;;
0:24:00;0:24:05;1440;;;;;;;
0:24:05;0:24:10;1445;;;;;;;
0:24:10;0:24:15;1450;;;;;;;
0:24:15;0:24:20;1455;;;;;;;
0:24:20;0:24:25;1460;;;;;;;
0:24:25;0:24:30;1465;;;;;;;
0:24:30;0:24:35;1470;;;;;;;
0:24:35;0:24:40;1475;;;;;;;
0:24:40;0:24:45;1480;;;;;;;
0:24:45;0:24:50;1485;;;;;;;
0:24:50;0:24:55;1490;;;;;;;
0:24:55;0:25:00;1495;;;;;;;
0:25:00;0:25:05;1500;;;;;;;
0:25:05;0:25:10;1505;;;;;;;
0:25:10;0:25:15;1510;;;;;;;
0:25:15;0:25:20;1515;;;;;;;
0:25:20;0:25:25;1520;;;;;;;
0:25:25;0:25:30;1525;;;;;;;
0:25:30;0:25:35;1530;;;;;;;
0:25:35;0:25:40;1535;;;;;;;
0:25:40;0:25:45;1540;;;;;;;
0:25:45;0:25:50;1545;;;;;;;
0:25:50;0:25:55;1550;;;;;;;
0:25:55;0:26:00;1555;;;;;;;
0:26:00;0:26:05;1560;;;;;;;
0:26:05;0:26:10;1565;;;;;;;
0:26:10;0:26:15;1570;;;;;;;
0:26:15;0:26:20;1575;;;;;;;
0:26:20;0:26:25;1580;;;;;;;
0:26:25;0:26:30;1585;;;;;;;
0:26:30;0:26:35;1590;;;;;;;
0:26:35;0:26:40;1595;;;;;;;
0:26:40;0:26:45;1600;;;;;;;
0:26:45;0:26:50;1605;;;;;;;
0:26:50;0:26:55;1610;;;;;;;
0:26:55;0:27:00;1615;;;;;;;
0:27:00;0:27:05;1620;;;;;;;
0:27:05;0:27:10;1625;;;;;;;
0:27:10;0:27:15;1630;;;;;;;
0:27:15;0:27:20;1635;;;;;;;
0:27:20;0:27:25;1640;;;;;;;
0:27:25;0:27:30;1645;;;;;;;
0:27:30;0:27:35;1650;;;;;;;
0:27:35;0:27:40;1655;;;;;;;
0:27:40;0:27:45;1660;;;;;;;
0:27:45;0:27:50;1665;;;;;;;
0:27:50;0:27:55;1670;;;;;;;
0:27:55;0:28:00;1675;;;;;;;
0:28:00;0:28:05;1680;;;;;;;
0:28:05;0:28:10;1685;;;;;;;
0:28:10;0:28:15;1690;;;;;;;
0:28:15;0:28:20;1695;;;;;;;
0:28:20;0:28:25;1700;;;;;;;
0:28:25;0:28:30;1705;;;;;;;
0:28:30;0:28:35;1710;;;;;;;
0:28:35;0:28:40;1715;;;;;;;
0:28:40;0:28:45;1720;;;;;;;
0:28:45;0:28:50;1725;;;;;;;
0:28:50;0:28:55;1730;;;;;;;
0:28:55;0:29:00;1735;;;;;;;
0:29:00;0:29:05;1740;;;;;;;
0:29:05;0:29:10;1745;;;;;;;
0:29:10;0:29:15;1750;;;;;;;
0:29:15;0:29:20;1755;;;;;;;
0:29:20;0:29:25;1760;;;;;;;
0:29:25;0:29:30;1765;;;;;;;
0:29:30;0:29:35;1770;;;;;;;
0:29:35;0:29:40;1775;;;;;;;
0:29:40;0:29:45;1780;;;;;;;
0:29:45;0:29:50;1785;;;;;;;
0:29:50;0:29:55;1790;;;;;;;
0:29:55;0:30:00;1795;;;;;;;
0:30:00;0:30:05;1800;;;;;;;
0:30:05;0:30:10;1805;;;;;;;
0:30:10;0:30:15;1810;;;;;;;
0:30:15;0:30:20;1815;;;;;;;
0:30:20;0:30:25;1820;;;;;;;
0:30:25;0:30:30;1825;;;;;;;
0:30:30;0:30:35;1830;;;;;;;
0:30:35;0:30:40;1835;;;;;;;
0:30:40;0:30:45;1840;;;;;;;
0:30:45;0:30:50;1845;;;;;;;
0:30:50;0:30:55;1850;;;;;;;
0:30:55;0:31:00;1855;;;;;;;
0:31:00;0:31:05;1860;;;;;;;
0:31:05;0:31:10;1865;;;;;;;
0:31:10;0:31:15;1870;;;;;;;
0:31:15;0:31:20;1875;;;;;;;
0:31:20;0:31:25;1880;;;;;;;
0:31:25;0:31:30;1885;;;;;;;
0:31:30;0:31:35;1890;;;;;;;
0:31:35;0:31:40;1895;;;;;;;
0:31:40;0:31:45;1900;;;;;;;
0:31:45;0:31:50;1905;;;;;;;
0:31:50;0:31:55;1910;;;;;;;
0:31:55;0:32:00;1915;;;;;;;
0:32:00;0:32:05;1920;;;;;;;
0:32:05;0:32:10;1925;;;;;;;
0:32:10;0:32:15;1930;;;;;;;
0:32:15;0:32:20;1935;;;;;;;
0:32:20;0:32:25;1940;;;;;;;
0:32:25;0:32:30;1945;;;;;;;
0:32:30;0:32:35;1950;;;;;;;
0:32:35;0:32:40;1955;;;;;;;
0:32:40;0:32:45;1960;;;;;;;
0:32:45;0:32:50;1965;;;;;;;
0:32:50;0:32:55;1970;;;;;;;
0:32:55;0:33:00;1975;;;;;;;
0:33:00;0:33:05;1980;;;;;;;
0:33:05;0:33:10;1985;;;;;;;
0:33:10;0:33:15;1990;;;;;;;
0:33:15;0:33:20;1995;;;;;;;
0:33:20;0:33:25;2000;;;;;;;
0:33:25;0:33:30;2005;;;;;;;
0:33:30;0:33:35;2010;;;;;;;
0:33:35;0:33:40;2015;;;;;;;
0:33:40;0:33:45;2020;;;;;;;
0:33:45;0:33:50;2025;;;;;;;
0:33:50;0:33:55;2030;;;;;;;
0:33:55;0:34:00;2035;;;;;;;
0:34:00;0:34:05;2040;;;;;;;
0:34:05;0:34:10;2045;;;;;;;
0:34:10;0:34:15;2050;;;;;;;
0:34:15;0:34:20;2055;;;;;;;
0:34:20;0:34:25;2060;;;;;;;
0:34:25;0:34:30;2065;;;;;;;
0:34:30;0:34:35;2070;;;;;;;
0:34:35;0:34:40;2075;;;;;;;
0:34:40;0:34:45;2080;;;;;;;
0:34:45;0:34:50;2085;;;;;;;
0:34:50;0:34:55;2090;;;;;;;
0:34:55;0:35:00;2095;;;;;;;
0:35:00;0:35:05;2100;;;;;;;
0:35:05;0:35:10;2105;;;;;;;
0:35:10;0:35:15;2110;;;;;;;
0:35:15;0:35:20;2115;;;;;;;
0:35:20;0:35:25;2120;;;;;;;
0:35:25;0:35:30;2125;;;;;;;
0:35:30;0:35:35;2130;;;;;;;
0:35:35;0:35:40;2135;;;;;;;
0:35:40;0:35:45;2140;;;;;;;
0:35:45;0:35:50;2145;;;;;;;
0:35:50;0:35:55;2150;;;;;;;
0:35:55;0:36:00;2155;;;;;;;
0:36:00;0:36:05;2160;;;;;;;
0:36:05;0:36:10;2165;;;;;;;
0:36:10;0:36:15;2170;;;;;;;
0:36:15;0:36:20;2175;;;;;;;
0:36:20;0:36:25;2180;;;;;;;
0:36:25;0:36:30;2185;;;;;;;
0:36:30;0:36:35;2190;;;;;;;
0:36:35;0:36:40;2195;;;;;;;
0:36:40;0:36:45;2200;;;;;;;
0:36:45;0:36:50;2205;;;;;;;
0:36:50;0:36:55;2210;;;;;;;
0:36:55;0:37:00;2215;;;;;;;
0:37:00;0:37:05;2220;;;;;;;
0:37:05;0:37:10;2225;;;;;;;
0:37:10;0:37:15;2230;;;;;;;
0:37:15;0:37:20;2235;;;;;;;
0:37:20;0:37:25;2240;;;;;;;
0:37:25;0:37:30;2245;;;;;;;
0:37:30;0:37:35;2250;;;;;;;
0:37:35;0:37:40;2255;;;;;;;
0:37:40;0:37:45;2260;;;;;;;
0:37:45;0:37:50;2265;;;;;;;
0:37:50;0:37:55;2270;;;;;;;
0:37:55;0:38:00;2275;;;;;;;
0:38:00;0:38:05;2280;;;;;;;
0:38:05;0:38:10;2285;;;;;;;
0:38:10;0:38:15;2290;;;;;;;
0:38:15;0:38:20;2295;;;;;;;
0:38:20;0:38:25;2300;;;;;;;
0:38:25;0:38:30;2305;;;;;;;
0:38:30;0:38:35;2310;;;;;;;
0:38:35;0:38:40;2315;;;;;;;
0:38:40;0:38:45;2320;;;;;;;
0:38:45;0:38:50;2325;;;;;;;
0:38:50;0:38:55;2330;;;;;;;
0:38:55;0:39:00;2335;;;;;;;
0:39:00;0:39:05;2340;;;;;;;
0:39:05;0:39:10;2345;;;;;;;
0:39:10;0:39:15;2350;;;;;;;
0:39:15;0:39:20;2355;;;;;;;
0:39:20;0:39:25;2360;;;;;;;
0:39:25;0:39:30;2365;;;;;;;
0:39:30;0:39:35;2370;;;;;;;
0:39:35;0:39:40;2375;;;;;;;
0:39:40;0:39:45;2380;;;;;;;
0:39:45;0:39:50;2385;;;;;;;
0:39:50;0:39:55;2390;;;;;;;
0:39:55;0:40:00;2395;;;;;;;
0:40:00;0:40:05;2400;;;;;;;
0:40:05;0:40:10;2405;;;;;;;
0:40:10;0:40:15;2410;;;;;;;
0:40:15;0:40:20;2415;;;;;;;
0:40:20;0:40:25;2420;;;;;;;
0:40:25;0:40:30;2425;;;;;;;
0:40:30;0:40:35;2430;;;;;;;
0:40:35;0:40:40;2435;;;;;;;
0:40:40;0:40:45;2440;;;;;;;
0:40:45;0:40:50;2445;;;;;;;
0:40:50;0:40:55;2450;;;;;;;
0:40:55;0:41:00;2455;;;;;;;
0:41:00;0:41:05;2460;;;;;;;
0:41:05;0:41:10;2465;;;;;;;
0:41:10;0:41:15;2470;;;;;;;
0:41:15;0:41:20;2475;;;;;;;
0:41:20;0:41:25;2480;;;;;;;
0:41:25;0:41:30;2485;;;;;;;
0:41:30;0:41:35;2490;;;;;;;
0:41:35;0:41:40;2495;;;;;;;
0:41:40;0:41:45;2500;;;;;;;
0:41:45;0:41:50;2505;;;;;0:34:50;0:34:55;2090
0:41:50;0:41:55;2510;;;;;0:34:55;0:35:00;2095
0:41:55;0:42:00;2515;;;;;0:35:00;0:35:05;2100
0:42:00;0:42:05;2520;;;;;0:35:05;0:35:10;2105
0:42:05;0:42:10;2525;;;;;0:35:10;0:35:15;2110
0:42:10;0:42:15;2530;;;;;0:35:15;0:35:20;2115
0:42:15;0:42:20;2535;;;;;0:35:20;0:35:25;2120
0:42:20;0:42:25;2540;;;;;0:35:25;0:35:30;2125
0:42:25;0:42:30;2545;;;;;0:35:30;0:35:35;2130
0:42:30;0:42:35;2550;;;;;0:35:35;0:35:40;2135
0:42:35;0:42:40;2555;;;;;0:35:40;0:35:45;2140
0:42:40;0:42:45;2560;;;;;0:35:45;0:35:50;2145
0:42:45;0:42:50;2565;;;;;0:35:50;0:35:55;2150
0:42:50;0:42:55;2570;;;;;0:35:55;0:36:00;2155
0:42:55;0:43:00;2575;;;;;0:36:00;0:36:05;2160
0:43:00;0:43:05;2580;;;;;0:36:05;0:36:10;2165
0:43:05;0:43:10;2585;;;;;0:36:10;0:36:15;2170
0:43:10;0:43:15;2590;;;;;0:36:15;0:36:20;2175
0:43:15;0:43:20;2595;;;;;0:36:20;0:36:25;2180
0:43:20;0:43:25;2600;;;;;0:36:25;0:36:30;2185
0:43:25;0:43:30;2605;;;;;0:36:30;0:36:35;2190
