;;Koppeling met bestandsnaam:;;123_1.1, 123_2.1, 123_3.1;;;Proefpersoon;;123
0:05:10;0:05:15;310;;3;;;;;
0:05:15;0:05:20;315;;2;;;;;
0:05:20;0:05:25;320;;3;;;;;
0:05:25;0:05:30;325;;2;;;;;
0:05:30;0:05:35;330;;2;;;;;
0:05:35;0:05:40;335;;3;;;;;
0:05:40;0:05:45;340;;2;;;;;
0:05:45;0:05:50;345;;3;;;;;
0:05:50;0:05:55;350;;2;;;;;
0:05:55;0:06:00;355;;3;;;;;
0:06:00;0:06:05;360;;3;;;;;
0:06:05;0:06:10;365;;3;;;;;
0:06:10;0:06:15;370;;3;;;;;
0:06:15;0:06:20;375;;3;;;;;
0:06:20;0:06:25;380;;3;;;;;
0:06:25;0:06:30;385;;3;;;;;
0:06:30;0:06:35;390;;3;;;;;
0:06:35;0:06:40;395;;2;;;;;
0:06:40;0:06:45;400;;2;;;;;
0:06:45;0:06:50;405;;2;;;;;
0:06:50;0:06:55;410;;1;;;;;
0:06:55;0:07:00;415;;1;;;;;
0:07:00;0:07:05;420;;1;;;;;
0:07:05;0:07:10;425;;4;;;;;
0:07:10;0:07:15;430;;1;;;;;
0:07:15;0:07:20;435;;1;;;;;
0:07:20;0:07:25;440;;1;;;;;
0:07:25;0:07:30;445;;5;;;;;
0:07:30;0:07:35;450;;5;;;;;
0:07:35;0:07:40;455;;5;;;;;
0:07:40;0:07:45;460;;5;;;;;
0:07:45;0:07:50;465;;5;;;;;
0:07:50;0:07:55;470;;1;;;;;
0:07:55;0:08:00;475;;1;;;;;
0:08:00;0:08:05;480;;1;;;;;
0:08:05;0:08:10;485;;1;;;;;
0:08:10;0:08:15;490;;5;;;;;
0:08:15;0:08:20;495;;5;;;;;
0:08:20;0:08:25;500;;1;;;;;
0:08:25;0:08:30;505;;4;;;;;
0:08:30;0:08:35;510;;4;;;;;
0:08:35;0:08:40;515;;4;;;;;
0:08:40;0:08:45;520;;1;;;;;
0:08:45;0:08:50;525;;6;;;;;
0:08:50;0:08:55;530;;1;;;;;
0:08:55;0:09:00;535;;6;;;;;
0:09:00;0:09:05;540;;1;;;;;
0:09:05;0:09:10;545;;6;;;;;
0:09:10;0:09:15;550;;6;;;;;
0:09:15;0:09:20;555;;6;;;;;
0:09:20;0:09:25;560;;6;;;;;
0:09:25;0:09:30;565;;6;;;;;
0:09:30;0:09:35;570;;1;;;;;
0:09:35;0:09:40;575;;1;;;;;
0:09:40;0:09:45;580;;1;;;;;
0:09:45;0:09:50;585;;1;;;;;
0:09:50;0:09:55;590;;1;;;;;
0:09:55;0:10:00;595;;1;;;;;
0:10:00;0:10:05;600;;1;;;;;
0:10:05;0:10:10;605;;1;;;;;
0:10:10;0:10:15;610;;1;;;;;
0:10:15;0:10:20;615;;1;;;;;
0:10:20;0:10:25;620;;1;;;;;
0:10:25;0:10:30;625;;1;;;;;
0:10:30;0:10:35;630;;1;;;;;
0:10:35;0:10:40;635;;1;;;;;
0:10:40;0:10:45;640;;1;;;;;
0:10:45;0:10:50;645;;1;;;;;
0:10:50;0:10:55;650;;8;;;;;
0:10:55;0:11:00;655;;8;;;;;
0:11:00;0:11:05;660;;8;;;;;
0:11:05;0:11:10;665;;8;;;;;
0:11:10;0:11:15;670;;1;;;;;
0:11:15;0:11:20;675;;4;;;;;
0:11:20;0:11:25;680;;1;;;;;
0:11:25;0:11:30;685;;1;;;;;
0:11:30;0:11:35;690;;1;;;;;
0:11:35;0:11:40;695;;1;;;;;
0:11:40;0:11:45;700;;1;;;;;
0:11:45;0:11:50;705;;1;;;;;
0:11:50;0:11:55;710;;1;;;;;
0:11:55;0:12:00;715;;1;;;;;
0:12:00;0:12:05;720;;7;;;;;
0:12:05;0:12:10;725;;7;;;;;
0:12:10;0:12:15;730;;7;;;;;
0:12:15;0:12:20;735;;1;;;;;
0:12:20;0:12:25;740;;1;;;;;
0:12:25;0:12:30;745;;1;;;;;
0:12:30;0:12:35;750;;1;;;;;
0:12:35;0:12:40;755;;1;;;;;
0:12:40;0:12:45;760;;1;;;;;
0:12:45;0:12:50;765;;1;;;;;
0:12:50;0:12:55;770;;1;;;;;
0:12:55;0:13:00;775;;1;;;;;
0:13:00;0:13:05;780;;1;;;;;
0:13:05;0:13:10;785;;9;;;;;
0:13:10;0:13:15;790;;9;;;;;
0:13:15;0:13:20;795;;9;;;;;
0:13:20;0:13:25;800;;1;;;;;
0:13:25;0:13:30;805;;9;;;;;
0:13:30;0:13:35;810;;9;;;;;
0:13:35;0:13:40;815;;9;;;;;
0:13:40;0:13:45;820;;1;;;;;
0:13:45;0:13:50;825;;1;;;;;
0:13:50;0:13:55;830;;1;;;;;
0:13:55;0:14:00;835;;1;;;;;
0:14:00;0:14:05;840;;1;;;;;
0:14:05;0:14:10;845;;1;;;;;
0:14:10;0:14:15;850;;9;;;;;
0:14:15;0:14:20;855;;9;;;;;
0:14:20;0:14:25;860;;9;;;;;
0:14:25;0:14:30;865;;1;;;;;
0:14:30;0:14:35;870;;1;;;;;
0:14:35;0:14:40;875;;1;;;;;
0:14:40;0:14:45;880;;1;;;;;
0:14:45;0:14:50;885;;1;;;;;
0:14:50;0:14:55;890;;9;;;;;
0:14:55;0:15:00;895;;9;;;;;
0:15:00;0:15:05;900;;1;;;;;
0:15:05;0:15:10;905;;1;;;;;
0:15:10;0:15:15;910;;1;;;;;
0:15:15;0:15:20;915;;1;;;;;
0:15:20;0:15:25;920;;1;;;;;
0:15:25;0:15:30;925;;10;;;;;
0:15:30;0:15:35;930;;10;;;;;
0:15:35;0:15:40;935;;1;;;;;
0:15:40;0:15:45;940;;1;;;;;
0:15:45;0:15:50;945;;13;;;;;
0:15:50;0:15:55;950;;13;;;;;
0:15:55;0:16:00;955;;1;;;;;
0:16:00;0:16:05;960;;13;;;;;
0:16:05;0:16:10;965;;13;;;;;
0:16:10;0:16:15;970;;13;;;;;
0:16:15;0:16:20;975;;1;;;;;
0:16:20;0:16:25;980;;1;;;;;
0:16:25;0:16:30;985;;1;;;;;
0:16:30;0:16:35;990;;1;;;;;
0:16:35;0:16:40;995;;1;;;;;
0:16:40;0:16:45;1000;;1;;;;;
0:16:45;0:16:50;1005;;1;;;;;
0:16:50;0:16:55;1010;;2;;;;;
0:16:55;0:17:00;1015;;2;;;;;
0:17:00;0:17:05;1020;;2;;;;;
0:17:05;0:17:10;1025;;2;;;;;
0:17:10;0:17:15;1030;;2;;;;;
0:17:15;0:17:20;1035;;2;;;;;
0:17:20;0:17:25;1040;;2;;;;;
0:17:25;0:17:30;1045;;2;;;;;
0:17:30;0:17:35;1050;;2;;;;;
0:17:35;0:17:40;1055;;2;;;;;
0:17:40;0:17:45;1060;;2;;;;;
0:17:45;0:17:50;1065;;2;;;;;
0:17:50;0:17:55;1070;;2;;;;;
0:17:55;0:18:00;1075;;1;;;;;
0:18:00;0:18:05;1080;;1;;;;;
0:18:05;0:18:10;1085;;1;;;;;
0:18:10;0:18:15;1090;;2;;;;;
0:18:15;0:18:20;1095;;2;;;;;
0:18:20;0:18:25;1100;;2;;;;;
0:18:25;0:18:30;1105;;1;;;;;
0:18:30;0:18:35;1110;;1;;;;;
0:18:35;0:18:40;1115;;1;;;;;
0:18:40;0:18:45;1120;;1;;;;;
0:18:45;0:18:50;1125;;1;;;;;
0:18:50;0:18:55;1130;;12;;;;;
0:18:55;0:19:00;1135;;12;;;;;
0:19:00;0:19:05;1140;;12;;;;;
0:19:05;0:19:10;1145;;12;;;;;
0:19:10;0:19:15;1150;;1;;;;;
0:19:15;0:19:20;1155;;1;;;;;
0:19:20;0:19:25;1160;;1;;;;;
0:19:25;0:19:30;1165;;1;;;;;
0:19:30;0:19:35;1170;;1;;;;;
0:19:35;0:19:40;1175;;1;;;;;
0:19:40;0:19:45;1180;;1;;;;;
0:19:45;0:19:50;1185;;18;;;;;
0:19:50;0:19:55;1190;;18;;;;;
0:19:55;0:20:00;1195;;1;;;;;
0:20:00;0:20:05;1200;;1;;;;;
0:20:05;0:20:10;1205;;18;;;;;
0:20:10;0:20:15;1210;;1;;;;;
0:20:15;0:20:20;1215;;1;;;;;
0:20:20;0:20:25;1220;;15;;;;;
0:20:25;0:20:30;1225;;15;;;;;
0:20:30;0:20:35;1230;;15;;;;;
0:20:35;0:20:40;1235;;15;;;;;
0:20:40;0:20:45;1240;;15;;;;;
0:20:45;0:20:50;1245;;15;;;;;
0:20:50;0:20:55;1250;;15;;;;;
0:20:55;0:21:00;1255;;15;;;;;
0:21:00;0:21:05;1260;;1;;;;;
0:21:05;0:21:10;1265;;1;;;;;
0:21:10;0:21:15;1270;;1;;;;;
0:21:15;0:21:20;1275;;1;;;;;
0:21:20;0:21:25;1280;;1;;;;;
0:21:25;0:21:30;1285;;1;;;;;
0:21:30;0:21:35;1290;;1;;;;;
0:21:35;0:21:40;1295;;1;;;;;
0:21:40;0:21:45;1300;;19;;;;;
0:21:45;0:21:50;1305;;19;;;;;
0:21:50;0:21:55;1310;;1;;;;;
0:21:55;0:22:00;1315;;1;;;;;
0:22:00;0:22:05;1320;;1;;;;;
0:22:05;0:22:10;1325;;19;;;;;
0:22:10;0:22:15;1330;;1;;;;;
0:22:15;0:22:20;1335;;1;;;;;
0:22:20;0:22:25;1340;;1;;;;;
0:22:25;0:22:30;1345;;1;;;;;
0:22:30;0:22:35;1350;;1;;;;;
0:22:35;0:22:40;1355;;1;;;;;
0:22:40;0:22:45;1360;;1;;;;;
0:22:45;0:22:50;1365;;1;;;;;
0:22:50;0:22:55;1380;;1;;;;;
0:22:55;0:23:00;1385;;1;;;;;
0:23:00;0:23:05;1380;;1;;;;;
0:23:05;0:23:10;1385;;1;;;;;
0:23:10;0:23:15;1390;;1;;;;;
0:23:15;0:23:20;1395;;1;;;;;
0:23:20;0:23:25;1400;;1;;;;;
0:23:25;0:23:30;1405;;1;;;;;
0:23:30;0:23:35;1410;;1;;;;;
0:23:35;0:23:40;1415;;1;;;;;
0:23:40;0:23:45;1420;;1;;;;;
0:23:45;0:23:50;1425;;1;;;;;
0:23:50;0:23:55;1430;;1;;;;;
0:23:55;0:24:00;1435;;22;;;;;
0:24:00;0:24:05;1440;;1;;;;;
0:24:05;0:24:10;1445;;1;;;;;
0:24:10;0:24:15;1450;;1;;;;;
0:24:15;0:24:20;1455;;1;;;;;
0:24:20;0:24:25;1460;;22;;;;;
0:24:25;0:24:30;1465;;22;;;;;
0:24:30;0:24:35;1470;;1;;;;;
0:24:35;0:24:40;1475;;1;;;;;
0:24:40;0:24:45;1480;;22;;;;;
0:24:45;0:24:50;1485;;22;;;;;
0:24:50;0:24:55;1490;;1;;;;;
0:24:55;0:25:00;1495;;1;;;;;
0:25:00;0:25:05;1500;;1;;;;;
0:25:05;0:25:10;1505;;1;;;;;
0:25:10;0:25:15;1510;;1;;;;;
0:25:15;0:25:20;1515;;1;;;;;
0:25:20;0:25:25;1520;;1;;;;;
0:25:25;0:25:30;1525;;1;;;;;
0:25:30;0:25:35;1530;;1;;;;;
0:25:35;0:25:40;1535;;1;;;;;
0:25:40;0:25:45;1540;;1;;;;;
0:25:45;0:25:50;1545;;1;;;;;
0:25:50;0:25:55;1550;;1;;;;;
0:25:55;0:26:00;1555;;1;;;;;
0:26:00;0:26:05;1560;;1;;;;;
0:26:05;0:26:10;1565;;1;;;;;
0:26:10;0:26:15;1570;;1;;;;;
0:26:15;0:26:20;1575;;2;;;;;
0:26:20;0:26:25;1580;;1;;;;;
0:26:25;0:26:30;1585;;1;;;;;
0:26:30;0:26:35;1590;;1;;;;;
0:26:35;0:26:40;1595;;1;;;;;
0:26:40;0:26:45;1600;;1;;;;;
0:26:45;0:26:50;1605;;1;;;;;
0:26:50;0:26:55;1610;;1;;;;;
0:26:55;0:27:00;1615;;1;;;;;
0:27:00;0:27:05;1620;;1;;;;;
0:27:05;0:27:10;1625;;1;;;;;
0:27:10;0:27:15;1630;;1;;;;;
0:27:15;0:27:20;1635;;1;;;;;
0:27:20;0:27:25;1640;;1;;;;;
0:27:25;0:27:30;1645;;1;;;;;
0:27:30;0:27:35;1650;;1;;;;;
0:27:35;0:27:40;1655;;1;;;;;
0:27:40;0:27:45;1660;;1;;;;;
0:27:45;0:27:50;1665;;1;;;;;
0:27:50;0:27:55;1670;;1;;;;;
0:27:55;0:28:00;1675;;1;;;;;
0:28:00;0:28:05;1680;;1;;;;;
0:28:05;0:28:10;1685;;1;;;;;
0:28:10;0:28:15;1690;;1;;;;;
0:28:15;0:28:20;1695;;1;;;;;
0:28:20;0:28:25;1700;;1;;;;;
0:28:25;0:28:30;1705;;1;;;;;
0:28:30;0:28:35;1710;;1;;;;;
0:28:35;0:28:40;1715;;1;;;;;
0:28:40;0:28:45;1720;;1;;;;;
0:28:45;0:28:50;1725;;1;;;;;
0:28:50;0:28:55;1730;;1;;;;;
0:28:55;0:29:00;1735;;1;;;;;
0:29:00;0:29:05;1740;;1;;;;;
0:29:05;0:29:10;1745;;23;;;;;
0:29:10;0:29:15;1750;;23;;;;;
0:29:15;0:29:20;1755;;23;;;;;
0:29:20;0:29:25;1760;;23;;;;;
0:29:25;0:29:30;1765;;23;;;;;
0:29:30;0:29:35;1770;;23;;;;;
0:29:35;0:29:40;1775;;23;;;;;
0:29:40;0:29:45;1780;;23;;;;;
0:29:45;0:29:50;1785;;23;;;;;
0:29:50;0:29:55;1790;;23;;;;;
0:29:55;0:30:00;1795;;23;;;;;
0:30:00;0:30:05;1800;;23;;;;;
0:30:05;0:30:10;1805;;23;;;;;
0:30:10;0:30:15;1810;;1;;;;;
0:30:15;0:30:20;1815;;1;;;;;
0:30:20;0:30:25;1820;;;;;;;
0:30:25;0:30:30;1825;;;;;;;
0:30:30;0:30:35;1830;;;;;;;
0:30:35;0:30:40;1835;;;;;;;
0:30:40;0:30:45;1840;;;;;;;
0:30:45;0:30:50;1845;;;;;;;
0:30:50;0:30:55;1850;;;;;;;
0:30:55;0:31:00;1855;;;;;;;
0:31:00;0:31:05;1860;;;;;;;
0:31:05;0:31:10;1865;;;;;;;
0:31:10;0:31:15;1870;;;;;;;
0:31:15;0:31:20;1875;;;;;;;
0:31:20;0:31:25;1880;;;;;;;
0:31:25;0:31:30;1885;;;;;;;
0:31:30;0:31:35;1890;;;;;;;
0:31:35;0:31:40;1895;;;;;;;
0:31:40;0:31:45;1900;;;;;;;
0:31:45;0:31:50;1905;;;;;;;
0:31:50;0:31:55;1910;;;;;;;
0:31:55;0:32:00;1915;;;;;;;
0:32:00;0:32:05;1920;;;;;;;
0:32:05;0:32:10;1925;;;;;;;
0:32:10;0:32:15;1930;;;;;;;
0:32:15;0:32:20;1935;;;;;;;
0:32:20;0:32:25;1940;;;;;;;
0:32:25;0:32:30;1945;;;;;;;
0:32:30;0:32:35;1950;;;;;;;
0:32:35;0:32:40;1955;;;;;;;
0:32:40;0:32:45;1960;;;;;;;
0:32:45;0:32:50;1965;;;;;;;
0:32:50;0:32:55;1970;;;;;;;
0:32:55;0:33:00;1975;;;;;;;
0:33:00;0:33:05;1980;;;;;;;
0:33:05;0:33:10;1985;;;;;;;
0:33:10;0:33:15;1990;;;;;;;
0:33:15;0:33:20;1995;;;;;;;
0:33:20;0:33:25;2000;;;;;;;
0:33:25;0:33:30;2005;;;;;;;
0:33:30;0:33:35;2010;;;;;;;
0:33:35;0:33:40;2015;;;;;;;
0:33:40;0:33:45;2020;;;;;;;
0:33:45;0:33:50;2025;;;;;;;
0:33:50;0:33:55;2030;;;;;;;
0:33:55;0:34:00;2035;;;;;;;
0:34:00;0:34:05;2040;;;;;;;
0:34:05;0:34:10;2045;;;;;;;
0:34:10;0:34:15;2050;;;;;;;
0:34:15;0:34:20;2055;;;;;;;
0:34:20;0:34:25;2060;;;;;;;
0:34:25;0:34:30;2065;;;;;;;
0:34:30;0:34:35;2070;;;;;;;
0:34:35;0:34:40;2075;;;;;;;
0:34:40;0:34:45;2080;;;;;;;
0:34:45;0:34:50;2085;;;;;;;
0:34:50;0:34:55;2090;;;;;;;
0:34:55;0:35:00;2095;;;;;;;
0:35:00;0:35:05;2100;;;;;;;
0:35:05;0:35:10;2105;;;;;;;
0:35:10;0:35:15;2110;;;;;;;
0:35:15;0:35:20;2115;;;;;;;
0:35:20;0:35:25;2120;;;;;;;
0:35:25;0:35:30;2125;;;;;;;
0:35:30;0:35:35;2130;;;;;;;
0:35:35;0:35:40;2135;;;;;;;
0:35:40;0:35:45;2140;;;;;;;
0:35:45;0:35:50;2145;;;;;;;
0:35:50;0:35:55;2150;;;;;;;
0:35:55;0:36:00;2155;;;;;;;
0:36:00;0:36:05;2160;;;;;;;
0:36:05;0:36:10;2165;;;;;;;
0:36:10;0:36:15;2170;;;;;;;
0:36:15;0:36:20;2175;;;;;;;
0:36:20;0:36:25;2180;;;;;;;
0:36:25;0:36:30;2185;;;;;;;
0:36:30;0:36:35;2190;;;;;;;
0:36:35;0:36:40;2195;;;;;;;
0:36:40;0:36:45;2200;;;;;;;
0:36:45;0:36:50;2205;;;;;;;
0:36:50;0:36:55;2210;;;;;;;
0:36:55;0:37:00;2215;;;;;;;
0:37:00;0:37:05;2220;;;;;;;
0:37:05;0:37:10;2225;;;;;;;
0:37:10;0:37:15;2230;;;;;;;
0:37:15;0:37:20;2235;;;;;;;
0:37:20;0:37:25;2240;;;;;;;
0:37:25;0:37:30;2245;;;;;;;
0:37:30;0:37:35;2250;;;;;;;
0:37:35;0:37:40;2255;;;;;;;
0:37:40;0:37:45;2260;;;;;;;
0:37:45;0:37:50;2265;;;;;;;
0:37:50;0:37:55;2270;;;;;;;
0:37:55;0:38:00;2275;;;;;;;
0:38:00;0:38:05;2280;;;;;;;
0:38:05;0:38:10;2285;;;;;;;
0:38:10;0:38:15;2290;;;;;;;
0:38:15;0:38:20;2295;;;;;;;
0:38:20;0:38:25;2300;;;;;;;
0:38:25;0:38:30;2305;;;;;;;
0:38:30;0:38:35;2310;;;;;;;
0:38:35;0:38:40;2315;;;;;;;
0:38:40;0:38:45;2320;;;;;;;
0:38:45;0:38:50;2325;;;;;;;
0:38:50;0:38:55;2330;;;;;;;
0:38:55;0:39:00;2335;;;;;;;
0:39:00;0:39:05;2340;;;;;;;
0:39:05;0:39:10;2345;;;;;;;
0:39:10;0:39:15;2350;;;;;;;
0:39:15;0:39:20;2355;;;;;;;
0:39:20;0:39:25;2360;;;;;;;
0:39:25;0:39:30;2365;;;;;;;
0:39:30;0:39:35;2370;;;;;;;
0:39:35;0:39:40;2375;;;;;;;
0:39:40;0:39:45;2380;;;;;;;
0:39:45;0:39:50;2385;;;;;;;
0:39:50;0:39:55;2390;;;;;;;
0:39:55;0:40:00;2395;;;;;;;
0:40:00;0:40:05;2400;;;;;;;
0:40:05;0:40:10;2405;;;;;;;
0:40:10;0:40:15;2410;;;;;;;
0:40:15;0:40:20;2415;;;;;;;
0:40:20;0:40:25;2420;;;;;;;
0:40:25;0:40:30;2425;;;;;;;
0:40:30;0:40:35;2430;;;;;;;
0:40:35;0:40:40;2435;;;;;;;
0:40:40;0:40:45;2440;;;;;;;
0:40:45;0:40:50;2445;;;;;;;
0:40:50;0:40:55;2450;;;;;;;
0:40:55;0:41:00;2455;;;;;;;
0:41:00;0:41:05;2460;;;;;;;
0:41:05;0:41:10;2465;;;;;;;
0:41:10;0:41:15;2470;;;;;;;
0:41:15;0:41:20;2475;;;;;;;
0:41:20;0:41:25;2480;;;;;;;
0:41:25;0:41:30;2485;;;;;;;
0:41:30;0:41:35;2490;;;;;;;
0:41:35;0:41:40;2495;;;;;;;
0:41:40;0:41:45;2500;;;;;;;
0:41:45;0:41:50;2505;;;;;;;
0:41:50;0:41:55;2510;;;;;;;
0:41:55;0:42:00;2515;;;;;;;
0:42:00;0:42:05;2520;;;;;;;
0:42:05;0:42:10;2525;;;;;;;
0:42:10;0:42:15;2530;;;;;;;
0:42:15;0:42:20;2535;;;;;;;
0:42:20;0:42:25;2540;;;;;;;
0:42:25;0:42:30;2545;;;;;;;
0:42:30;0:42:35;2550;;;;;;;
0:42:35;0:42:40;2555;;;;;;;
0:42:40;0:42:45;2560;;;;;;;
0:42:45;0:42:50;2565;;;;;;;
0:42:50;0:42:55;2570;;;;;;;
0:42:55;0:43:00;2575;;;;;;;
0:43:00;0:43:05;2580;;;;;;;
0:43:05;0:43:10;2585;;;;;;;
0:43:10;0:43:15;2590;;;;;;;
0:43:15;0:43:20;2595;;;;;;;
0:43:20;0:43:25;2600;;;;;;;
0:43:25;0:43:30;2605;;;;;;;
0:43:30;0:43:35;2610;;;;;;;
0:43:35;0:43:40;2615;;;;;;;
0:43:40;0:43:45;2620;;;;;;;
0:43:45;0:43:50;2625;;;;;;;
0:43:50;0:43:55;2630;;;;;;;
0:43:55;0:44:00;2635;;;;;;;
0:44:00;0:44:05;2640;;;;;;;
0:44:05;0:44:10;2645;;;;;;;
0:44:10;0:44:15;2650;;;;;;;
0:44:15;0:44:20;2655;;;;;;;
0:44:20;0:44:25;2660;;;;;;;
0:44:25;0:44:30;2665;;;;;;;
0:44:30;0:44:35;2670;;;;;;;
0:44:35;0:44:40;2675;;;;;;;
0:44:40;0:44:45;2680;;;;;;;
0:44:45;0:44:50;2685;;;;;;;
0:44:50;0:44:55;2690;;;;;;;
0:44:55;0:45:00;2695;;;;;;;
0:45:00;0:45:05;2700;;;;;;;
0:45:05;0:45:10;2705;;;;;;;
0:45:10;0:45:15;2710;;;;;;;
0:45:15;0:45:20;2715;;;;;;;
0:45:20;0:45:25;2720;;;;;;;
0:45:25;0:45:30;2725;;;;;;;
0:45:30;0:45:35;2730;;;;;;;
0:45:35;0:45:40;2735;;;;;;;
0:45:40;0:45:45;2740;;;;;;;
0:45:45;0:45:50;2745;;;;;;;
0:45:50;0:45:55;2750;;;;;;;
0:45:55;0:46:00;2755;;;;;;;
0:46:00;0:46:05;2760;;;;;;;
0:46:05;0:46:10;2765;;;;;;;
0:46:10;0:46:15;2770;;;;;;;
0:46:15;0:46:20;2775;;;;;;;
0:46:20;0:46:25;2780;;;;;;;
0:46:25;0:46:30;2785;;;;;;;
0:46:30;0:46:35;2790;;;;;;;
0:46:35;0:46:40;2795;;;;;;;
0:46:40;0:46:45;2800;;;;;;;
0:46:45;0:46:50;2805;;;;;;;
0:46:50;0:46:55;2810;;;;;;;
0:46:55;0:47:00;2815;;;;;;;
0:47:00;0:47:05;2820;;;;;;;
0:47:05;0:47:10;2825;;;;;;;
0:47:10;0:47:15;2830;;;;;;;
0:47:15;0:47:20;2835;;;;;;;
0:47:20;0:47:25;2840;;;;;;;
0:47:25;0:47:30;2845;;;;;;;
0:47:30;0:47:35;2850;;;;;;;
0:47:35;0:47:40;2855;;;;;;;
0:47:40;0:47:45;2860;;;;;;;
0:47:45;0:47:50;2865;;;;;;;
0:47:50;0:47:55;2870;;;;;;;
0:47:55;0:48:00;2875;;;;;;;
0:48:00;0:48:05;2880;;;;;;;
0:48:05;0:48:10;2885;;;;;;;
0:48:10;0:48:15;2890;;;;;;;
0:48:15;0:48:20;2895;;;;;;;
0:48:20;0:48:25;2900;;;;;;;
0:48:25;0:48:30;2905;;;;;;;
0:48:30;0:48:35;2910;;;;;;;
0:48:35;0:48:40;2915;;;;;;;
0:48:40;0:48:45;2920;;;;;;;
0:48:45;0:48:50;2925;;;;;;;
0:48:50;0:48:55;2930;;;;;;;
0:48:55;0:49:00;2935;;;;;;;
0:49:00;0:49:05;2940;;;;;;;
0:49:05;0:49:10;2945;;;;;;;
0:49:10;0:49:15;2950;;;;;;;
0:49:15;0:49:20;2955;;;;;;;
0:49:20;0:49:25;2960;;;;;;;
0:49:25;0:49:30;2965;;;;;;;
0:49:30;0:49:35;2970;;;;;;;
0:49:35;0:49:40;2975;;;;;;;
0:49:40;0:49:45;2980;;;;;;;
0:49:45;0:49:50;2985;;;;;;;
0:49:50;0:49:55;2990;;;;;;;
0:49:55;0:50:00;2995;;;;;;;
0:50:00;0:50:05;3000;;;;;;;
